objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"7 Wonders","68448","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","141161681","7.54585","7.66026","2.315","118","157680","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","212.3","","","","2026-01-12","淘宝","","","","","","","",""
"Aye!Captain","424191","5","0","0","0","0","0","0","0","1","0","0","3","","","","","","131427242","0","5.78571","0","0","12","thing","Aye!Captain","1","4","90","90","45","2024","","","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","158","","","","2024-07-02","摩点","","","茨坝人才公寓405","2025-09-28","拾刻桌游 (O'Clock Games)","Chinese","2024","Chinese edition"
"CABO (Second Edition)","271321","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","131395880","6.34955","7.30064","1.2115","1729","5186","thing","CABO (Second Edition)","2","4","45","45","45","2019","2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","15","","","","","淘宝","","","","","Bézier Games","English","2019","English standard edition"
"Café Baras","406498","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","135827865","6.13539","7.20819","1.9459","2524","4315","thing","Café Baras","2","4","30","30","30","2024","2,3,4","2,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","86","","","","2025-06-13","摩点","","","405","","","","",""
"Castle Combo: Out of the Oubliette!","448182","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","147641658","6.13134","8.00912","1.8333","0","4946","thing","Castle Combo: Out of the Oubliette!","2","5","25","25","10","2025","2,3,4,5","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","26.55","","","","","新物集","","","","","Catch Up Games; Hachette Boardgames UK","English","2025","English edition"
"Challengers! Beach Cup","390340","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","131429538","6.44476","7.6311","2.0833","1479","4922","thing","Challengers! Beach Cup","1","8","45","45","45","2023","2,4,5,6,7,8","4,6,8","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","57.83","","","","2024-11-01","淘宝","","","茨坝人才公寓405","2024-11-16","","","",""
"Clank!: Catacombs – Lairs and Lost Chambers","422869","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","146297777","6.33962","8.28312","2.5294","0","6166","thing","Clank!: Catacombs – Lairs and Lost Chambers","2","4","90","90","45","2024","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","168.74","","","","","淘宝","","","","","","","",""
"Clank!: Catacombs – Underworld","447586","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","146297785","5.90121","8.227","2.9286","0","3343","thing","Clank!: Catacombs – Underworld","2","4","90","90","45","2025","2,3,4","3","","Unplayable in another language","","","","","","expansion","","203.26","","","","","淘宝","","","","","","","",""
"Detective: Heists & Heartbreak","443875","0","0","0","0","0","0","1","0","0","0","0","3","","","","","","146302024","0","8.1579","1","0","311","thing","Detective: Heists & Heartbreak","1","5","150","150","30","2026","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Flip 7","420087","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","132329586","6.99579","7.2055","1.0386","513","58056","thing","Flip 7","3","18","20","20","20","2025","3,4,5,6,7,8,9","5,6","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","18","","","","2025-05-12","淘宝","","盗版","405","2025-05-23","The Op Games","English","2025","English second edition"
"Four against the Great Old Ones","307191","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","146357420","5.57035","7.69792","2.5","11495","390","thing","Four against the Great Old Ones","1","4","120","120","20","2020","1","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Ganesha Games","English","2020","English edition"
"Gloomhaven: Buttons & Bugs","393672","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136718806","6.7191","7.46972","3.3188","887","18784","thing","Gloomhaven: Buttons & Bugs","1","1","20","20","20","2024","1","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","117","","","","2025-09-24","咸鱼","","","","2025-09-27","","","",""
"Keep the Heroes Out!: Boss Battles","394150","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134420534","5.97619","8.60286","2.875","0","3645","thing","Keep the Heroes Out!: Boss Battles","1","4","40","0","40","2024","1,2,3","2","6+","No necessary in-game text","","","","","","expansion","","300","","","","","新物集","","","","","","","",""
"Keep the Heroes Out!: The Great Dreamer Expansion","351549","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","135247929","5.98531","8.22832","2.5","0","4608","thing","Keep the Heroes Out!: The Great Dreamer Expansion","1","4","40","40","40","2022","1,2,3","2","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Brueh Games Inc.","Chinese; English; Portuguese","2022","English/Portuguese/Chinese edition"
"Keep the Heroes Out!: The Sparkling Guardian Expansion","404357","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135247948","5.73122","7.99254","2.5","0","2801","thing","Keep the Heroes Out!: The Sparkling Guardian Expansion","1","4","40","0","40","2024","1,2,3","2","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Brueh Games Inc.","English","2024","English edition"
"The Lord of the Rings: Duel for Middle-Earth – Allies","450429","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","143127598","6.31736","8.15693","1.8421","0","9428","thing","The Lord of the Rings: Duel for Middle-Earth – Allies","2","2","30","30","30","2025","2","2","10+","No necessary in-game text","","","","","","expansion","","68","","","","","淘宝","","","","","","","",""
"The Lord of the Rings: Duel for Middle-earth – Grond Promo Tile","430036","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140120635","5.60286","6.66369","2.3333","0","1716","thing","The Lord of the Rings: Duel for Middle-earth – Grond Promo Tile","2","2","45","45","30","2025","2","2","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Repos Production","(neutral)","2025","Multilingual edition, second printing"
"The Lord of the Rings: Duel for Middle-earth – The Shire Promo Tile","428620","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140120649","5.67585","6.9964","1.6","0","2396","thing","The Lord of the Rings: Duel for Middle-earth – The Shire Promo Tile","2","2","45","45","30","2025","2","2","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Repos Production","English; French","2025","Multilingual edition, second printing"
"Lords of Waterdeep","110327","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","148726049","7.57949","7.72868","2.448","108","75289","thing","Lords of Waterdeep","2","5","120","120","60","2012","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","290","","","","2026-08-21","咸鱼","","","","2026-08-23","","","",""
"Lords of Waterdeep: Scoundrels of Skullport","134342","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","148730079","7.78641","8.21038","2.6538","0","36496","thing","Lords of Waterdeep: Scoundrels of Skullport","2","6","60","60","60","2013","2,3,4,5,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","190","","","","2026-08-21","咸鱼","","","","2026-08-23","","","",""
"Magical Athlete","454103","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","144454827","7.2027","7.77263","1.2188","306","17069","thing","Magical Athlete","2","6","30","30","30","2025","3,4,5,6","5,6","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","55","","","","2026-03-17","咸鱼","","盗版","405","2026-04-10","CMYK","English","2025","English edition"
"Mahjong","2093","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","135695816","6.64776","7.06634","2.5794","1019","13242","thing","Mahjong","3","4","120","120","120","1850","4","4","10+","No necessary in-game text","","","","","","standalone","","68.1","","","","","","","","","","","","",""
"Mansions of Madness: Second Edition","205059","9","0","0","0","0","0","0","0","0","0","0","3","","","","","","134496086","7.67323","7.912","2.6904","79","66813","thing","Mansions of Madness: Second Edition","1","5","180","180","120","2016","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Patchwork","163412","8","0","0","0","0","0","0","0","0","0","0","3","","","","","","134496076","7.46989","7.5762","1.5999","149","124794","thing","Patchwork","2","2","30","30","15","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Poker","1115","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","148870192","6.46791","6.72475","2.4237","1419","12095","thing","Poker","2","10","60","60","60","1810","3,4,5,6,7,8,9","5,6","12+","No necessary in-game text","","","","","","standalone","","4.24","","","","2026-03-03","淘宝","","","","2026-03-13","","","",""
"Rummikub Twist","237792","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","131395644","5.69672","7.41031","2","6471","849","thing","Rummikub Twist","2","4","45","45","20","2016","2,3,4","3,4","6+","","","","","","","standalone","","165","","","","2024-03-23","咸鱼","","","茨坝人才公寓405","2024-04-02","","","",""
"SCOUT","291453","9.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","131395806","7.57308","7.77366","1.3986","110","57654","thing","SCOUT","2","5","20","20","20","2021","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","24","","","","2025-02-09","淘宝","","","茨坝人才公寓405","2025-02-20","asmodee; Oink Games","Chinese; English; Japanese","2021","Japanese/Chinese/English edition"
"Sea Salt & Paper","367220","0","0","0","0","0","0","1","0","0","0","0","3","","","","","","131437200","7.27662","7.50918","1.4944","252","51939","thing","Sea Salt & Paper","2","4","45","45","30","2022","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"SETI: Space Agencies","445048","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","146321994","7.05031","8.8544","3.7414","0","10556","thing","SETI: Space Agencies","1","4","160","160","40","2025","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Skull King","150145","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","148730073","7.22146","7.53005","1.7303","284","35057","thing","Skull King","2","8","30","30","30","2013","3,4,5,6","4,5,6","8+","No necessary in-game text","","","","","","standalone","","26.57","","","","2026-08-21","淘宝","","盗版","","","","","",""
"Terraforming Mars: The Dice Game – Missions","453392","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","138477422","5.5923","7.77053","2.6667","0","976","thing","Terraforming Mars: The Dice Game – Missions","1","4","45","45","45","2025","2,3,4","3","12+","","","","","","","expansion","","88","","","","","新物集","","","","","FryxGames","English","2025","English edition"
"Ticket to Ride Legacy: Legends of the West","390092","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","148200693","7.78931","8.60576","2.5533","49","16607","thing","Ticket to Ride Legacy: Legends of the West","2","5","90","90","20","2023","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","565","","","","","咸鱼","","","","","Days of Wonder; GoKids 玩樂小子","Chinese","2023","Traditional Chinese edition"
